date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2008-08-01,sh.000001,2751.0200,2830.7640,2721.9520,2801.8170,2775.7170,4921541900,50743916796.0000,3,0.011389,1,0.940292,0
2008-08-04,sh.000001,2782.9850,2793.2570,2738.8500,2741.7400,2801.8170,3717031800,37566055922.0000,3,0.008591,1,-2.144212,0
2008-08-05,sh.000001,2751.2000,2762.2630,2684.7340,2690.7460,2741.7400,4237855200,42511686422.0000,3,0.009757,1,-1.859910,0
2008-08-06,sh.000001,2711.6020,2743.1130,2678.8620,2719.3680,2690.7460,4060552500,41130300109.0000,3,0.009348,1,1.063713,0
2008-08-07,sh.000001,2717.5020,2742.7050,2691.3550,2727.5770,2719.3680,3949212100,38724122744.0000,3,0.009091,1,0.301871,0
2008-08-08,sh.000001,2724.4300,2725.9310,2595.9170,2605.7190,2727.5770,4850743700,46304907755.0000,3,0.011159,1,-4.467625,0
2008-08-11,sh.000001,2595.8950,2601.5020,2453.7070,2470.0740,2605.7190,4716145000,41510408309.0000,3,0.010833,1,-5.205666,0
2008-08-12,sh.000001,2445.2160,2484.7460,2430.8490,2457.1980,2470.0740,3663263200,31055560371.0000,3,0.008400,1,-0.521279,0
2008-08-13,sh.000001,2440.5250,2458.7690,2370.7370,2446.2970,2457.1980,4100523100,35322519408.0000,3,0.009403,1,-0.443630,0
2008-08-14,sh.000001,2432.1970,2454.2510,2409.0100,2437.0820,2446.2970,3130522600,27731353259.0000,3,0.007169,1,-0.376695,0
2008-08-15,sh.000001,2434.4080,2476.8580,2414.5730,2450.6100,2437.0820,3129606800,27201868951.0000,3,0.007141,1,0.555093,0
2008-08-18,sh.000001,2451.7780,2455.5040,2318.9260,2319.8680,2450.6100,5365679600,35866644286.0000,3,0.012190,1,-5.335087,0
2008-08-19,sh.000001,2297.2450,2355.9290,2284.5850,2344.4690,2319.8680,3859382100,27699092355.0000,3,0.008536,1,1.060452,0
2008-08-20,sh.000001,2332.4840,2523.4690,2306.6620,2523.2820,2344.4690,7373666300,59038931793.0000,3,0.016308,1,7.627014,0
2008-08-21,sh.000001,2484.4850,2518.4430,2431.0460,2431.7160,2523.2820,6133199000,51914051787.0000,3,0.013563,1,-3.628842,0
2008-08-22,sh.000001,2414.4590,2426.7070,2362.0930,2405.2260,2431.7160,4628459300,36347766869.0000,3,0.010200,1,-1.089354,0
2008-08-25,sh.000001,2408.0950,2443.9900,2382.2910,2413.3740,2405.2260,3375721700,26848283382.0000,3,0.007437,1,0.338760,0
2008-08-26,sh.000001,2384.9460,2403.0160,2327.2200,2350.0840,2413.3740,4097946600,31328604024.0000,3,0.009028,1,-2.622471,0
2008-08-27,sh.000001,2343.8820,2385.9910,2310.4550,2342.1470,2350.0840,4095260400,32569013718.0000,3,0.009021,1,-0.337733,0
2008-08-28,sh.000001,2341.9560,2374.2460,2333.0300,2350.1430,2342.1470,3475273400,28602903065.0000,3,0.007654,1,0.341400,0
2008-08-29,sh.000001,2361.0460,2420.8480,2352.0990,2397.3690,2350.1430,4640576800,37316396857.0000,3,0.010208,1,2.009488,0
2008-09-01,sh.000001,2380.4680,2380.4680,2311.7270,2325.1350,2397.3690,3626524000,28678403207.0000,3,0.007923,1,-3.013048,0
2008-09-02,sh.000001,2312.1020,2329.0090,2284.9200,2304.8910,2325.1350,3419029100,25957452202.0000,3,0.007468,1,-0.870655,0
2008-09-03,sh.000001,2301.9410,2321.5350,2248.0670,2276.6720,2304.8910,4225000600,32463648806.0000,3,0.009229,1,-1.224309,0
2008-09-04,sh.000001,2270.5240,2295.3550,2249.1200,2277.4110,2276.6720,3416308900,25834811521.0000,3,0.007462,1,0.032450,0
2008-09-05,sh.000001,2224.5270,2238.3240,2199.3650,2202.4460,2277.4110,3860817100,27970605034.0000,3,0.008427,1,-3.291670,0
2008-09-08,sh.000001,2210.3440,2220.5460,2135.3750,2143.4210,2202.4460,3766949700,27669314826.0000,3,0.008221,1,-2.679981,0
2008-09-09,sh.000001,2152.2770,2161.3500,2114.5030,2145.7790,2143.4210,3072269100,21768671830.0000,3,0.006704,1,0.110018,0
2008-09-10,sh.000001,2131.8000,2185.6940,2102.9060,2150.7590,2145.7790,3901204200,28504635197.0000,3,0.008513,1,0.232083,0
